GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
QuizzyCards,default,MainWindow,45,0,0,0,13,0,3,0,3,0
QuizzyCards,default,Main,12,0,0,0,4,0,2,0,2,0
QuizzyCards,models,Flashcard,0,93,0,0,0,38,0,19,0,19
QuizzyCards,models,FlashcardSet,0,55,0,0,0,22,0,11,0,11
QuizzyCards,models,User,0,27,0,0,0,10,0,5,0,5
QuizzyCards,database,ConnectDB,39,25,2,2,9,11,3,4,1,4
QuizzyCards,dao,UserDao,9,83,6,8,0,24,6,4,0,3
QuizzyCards,dao,FlashcardSetDao,13,130,7,11,0,38,7,6,0,4
QuizzyCards,dao,FlashcardDao,9,115,5,7,0,33,5,4,0,3
QuizzyCards,utils,HashUtil,12,0,0,0,3,0,3,0,3,0
QuizzyCards,utils,SessionManager,11,0,0,0,6,0,4,0,4,0
QuizzyCards,controllers,StatsController,3,0,0,0,1,0,1,0,1,0
QuizzyCards,controllers,TeacherSetsController,189,0,10,0,58,0,14,0,9,0
QuizzyCards,controllers,StudentSetsController,189,0,10,0,58,0,14,0,9,0
QuizzyCards,controllers,LoginController,84,0,4,0,27,0,6,0,4,0
QuizzyCards,controllers,QuizController,320,0,22,0,67,0,20,0,9,0
QuizzyCards,controllers,MainWindowController,205,0,4,0,52,0,15,0,13,0
QuizzyCards,controllers,RegisterController,92,0,4,0,30,0,7,0,5,0
QuizzyCards,controllers,FlashcardSetController,497,0,18,0,108,0,20,0,11,0
QuizzyCards,services,FlashcardService,65,0,16,0,9,0,11,0,3,0
QuizzyCards,services,FlashcardSetService,23,0,0,0,5,0,4,0,4,0
QuizzyCards,services,UserService,40,0,6,0,10,0,6,0,3,0
